location,Базель,Базель,Базель,Базель
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Базель Temperature [2 m elevation corrected],Базель Relative Humidity [2 m],Базель Wind Speed [10 m],Базель Wind Direction [10 m]
20220102T0000,8.780529,60.0,7.968939,108.434944
20220102T0100,8.600529,60.0,8.766573,109.17901
20220102T0200,8.200529,61.0,9.028754,113.498566
20220102T0300,8.350529,61.0,8.373386,115.46334
20220102T0400,8.010529,63.0,9.360001,112.61986
20220102T0500,7.6305285,66.0,9.693296,111.80141
20220102T0600,7.1205287,70.0,9.028754,113.498566
20220102T0700,7.0005283,71.0,7.754637,111.80141
20220102T0800,6.3905287,73.0,7.072878,104.74355
20220102T0900,6.6005287,71.0,6.6185193,112.380135
20220102T1000,7.5105286,64.0,6.489992,109.44003
20220102T1100,8.330529,63.0,6.9527545,111.2505
20220102T1200,10.280529,65.0,6.4096174,128.15723
20220102T1300,11.480529,70.0,8.557102,112.249016
20220102T1400,13.360529,67.0,4.0249224,169.69516
20220102T1500,16.270529,46.0,8.647496,272.38596
20220102T1600,15.970529,44.0,15.158522,265.91437
20220102T1700,14.760529,47.0,12.6462,265.10092
20220102T1800,13.320529,52.0,12.24,241.92752
20220102T1900,12.510529,56.0,13.237039,247.61987
20220102T2000,12.340529,58.0,14.81259,244.05771
20220102T2100,12.190529,62.0,16.394829,250.76932
20220102T2200,11.910529,67.0,17.31746,249.30457
20220102T2300,11.740529,71.0,21.829777,256.65128
20220103T0000,11.590529,67.0,20.150354,251.24136
20220103T0100,11.750529,69.0,27.155552,255.41107
20220103T0200,11.570529,71.0,26.6327,260.665
20220103T0300,11.210529,72.0,26.82906,258.38852
20220103T0400,10.580529,71.0,24.975283,254.96219
20220103T0500,10.530529,71.0,25.620771,252.83807
20220103T0600,10.3005295,74.0,22.35481,255.06857
20220103T0700,10.090529,75.0,22.086521,250.9744
20220103T0800,9.5505295,75.0,18.792551,253.30075
20220103T0900,9.530529,74.0,20.150354,251.24136
20220103T1000,10.600529,71.0,23.749088,255.96376
20220103T1100,11.530529,68.0,27.047956,260.0362
20220103T1200,12.040529,64.0,29.17777,260.7701
20220103T1300,12.930529,62.0,25.212852,260.1342
20220103T1400,13.220529,58.0,26.368616,265.30133
20220103T1500,13.120529,58.0,25.233406,255.96376
20220103T1600,12.630529,57.0,23.936617,257.84506
20220103T1700,11.580529,61.0,20.082708,255.46555
20220103T1800,11.440529,62.0,16.179985,249.14554
20220103T1900,11.510529,62.0,18.514643,243.43495
20220103T2000,11.200529,64.0,16.704155,232.88315
20220103T2100,11.090529,65.0,14.113652,232.2532
20220103T2200,11.270529,65.0,14.003028,223.95837
20220103T2300,11.140529,66.0,13.493999,226.08093
20220104T0000,10.400529,71.0,10.685391,212.61925
20220104T0100,10.440529,67.0,10.383987,213.69006
20220104T0200,10.500529,68.0,10.799999,216.8699
20220104T0300,10.440529,72.0,10.883676,235.7843
20220104T0400,10.730529,73.0,9.0,216.8699
20220104T0500,10.730529,71.0,16.870138,219.80557
20220104T0600,10.760529,71.0,22.545315,218.51694
20220104T0700,10.110529,73.0,28.227304,217.74681
20220104T0800,10.660529,73.0,26.758923,222.2737
20220104T0900,11.130529,74.0,29.275326,224.50179
20220104T1000,12.490529,74.0,35.426632,232.43141
20220104T1100,12.870529,73.0,33.270313,234.24611
20220104T1200,14.670529,65.0,39.777966,244.82648
20220104T1300,16.830528,55.0,34.322937,245.85446
20220104T1400,16.89053,53.0,30.75209,242.83502
20220104T1500,16.750528,51.0,29.723444,253.10135
20220104T1600,16.240528,52.0,28.943642,264.28943
20220104T1700,15.010529,58.0,22.086521,289.0256
20220104T1800,12.000529,80.0,15.379206,327.42596
20220104T1900,10.320529,88.0,18.043148,331.38956
20220104T2000,6.7705283,86.0,25.189713,329.03625
20220104T2100,6.8905287,89.0,16.548256,315.8814
20220104T2200,6.5805287,80.0,21.841648,278.53076
20220104T2300,6.0805287,81.0,22.68,270.0
20220105T0000,5.9205284,79.0,21.194187,249.10223
20220105T0100,6.540529,76.0,20.808498,232.7336
20220105T0200,6.790529,74.0,24.408424,232.79208
20220105T0300,6.7205286,77.0,22.59699,247.52057
20220105T0400,6.3805285,82.0,24.29133,263.19095
20220105T0500,5.7405286,87.0,24.86868,292.10944
20220105T0600,2.3605285,80.0,19.862083,313.5312
20220105T0700,3.0505285,71.0,24.464113,302.98853
20220105T0800,1.9105287,78.0,24.798225,297.68106
20220105T0900,1.3005286,80.0,25.161398,289.21268
